id,miner,rust,phoma,split,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12
888,1,0,0,train,4.3983393,-2.7247703,-1.8772353,-12.619233,-1.7946832,-4.3937964,0.23702845,-4.513886,-5.109625,-2.3298485,-0.4408785,-6.163053
361,0,0,1,train,-2.5106947,-12.402338,5.1559873,-7.7379313,-4.9844813,6.204594,1.0723109,1.4090497,4.5020914,-0.86369693,0.081131056,-4.118589
886,0,1,0,train,6.291614,0.21363652,-14.010539,-5.1127543,-0.09764134,5.7774262,-1.0935597,-1.0761673,-0.9659983,1.0035986,-0.3528709,2.6527226
345,0,0,1,train,-22.17275,2.4238505,-7.222538,4.790113,-9.742362,-16.537113,1.9354126,-5.4102654,-5.18209,-6.336801,-1.4003716,20.533384
200,0,0,0,train,11.308544,-3.9963465,4.616237,-3.220478,0.18748614,-2.8632252,-1.2527386,1.0475944,-6.222854,-7.85749,-2.7175078,3.7125401
951,1,0,0,train,9.387257,-5.912643,-3.7825701,-9.172731,0.83164054,-4.981142,-4.100647,-9.70492,1.7655478,2.3766081,0.25991222,-1.6130357
459,0,0,1,train,-14.45154,-4.302391,1.8222218,-1.6175978,-8.504325,1.682499,7.5975246,4.545221,4.730787,1.4960262,3.0969021,-0.06984006
377,0,0,1,train,-10.944921,-12.812259,5.868098,2.0549135,3.337674,2.6718607,-0.25886804,0.65267277,7.2736974,1.7827215,-1.0305898,-1.7326658
394,0,0,1,train,-9.13758,-13.187704,5.900922,2.068358,0.70085096,-0.29900885,-0.8591657,-2.0466828,0.6911748,7.6408143,-2.44415,-0.6614441
452,0,0,1,train,-7.735947,-3.8568234,8.529759,-3.6377373,-0.13799696,3.2279732,2.0859363,-4.6580997,-1.7265093,1.911466,-0.17332917,0.7593266
676,0,0,1,train,-14.655366,-4.1871805,-8.830191,1.6421715,-6.8131623,-1.0243702,7.9541864,-6.4366956,6.5384874,2.4032679,1.940667,-2.7449644
278,0,0,1,train,-15.416323,-5.5127735,-2.8529258,0.46109465,3.5499947,-0.82051075,5.083219,0.33882138,7.774356,0.120368436,0.54606295,5.895271
725,0,0,0,train,7.5464587,19.427387,20.395964,6.11776,-1.260293,-4.722417,-1.0961013,-0.55020577,4.4237027,-2.3917735,-4.6967096,-1.8632351
1092,1,0,0,train,4.625486,-2.8533506,-10.934453,-8.711056,-1.5746782,-1.1662289,-0.489621,-3.8871965,4.8952217,-0.80701786,-2.021183,-1.7096987
1384,0,0,0,train,5.90404,-7.292468,5.850032,5.119103,8.007975,2.6057637,-0.12233417,-3.3865576,4.5702186,-2.3410413,2.598757,3.095559
210,0,0,0,train,6.221498,-16.475058,-3.7876856,9.019246,-7.449014,1.5215672,2.1170888,3.94251,-2.1403534,1.0528326,-3.6435206,-4.4127336
1493,0,1,0,train,9.112517,9.703113,-10.940521,-3.4308815,10.604514,5.703078,-12.812101,17.466146,2.5416152,-0.6410908,11.239212,-3.989818
490,0,0,1,train,-12.747556,-7.7718706,5.313294,4.3504963,-2.2200658,4.729433,-1.2145419,0.5199762,1.4118137,4.1368093,-4.947339,2.353707
1057,0,0,0,train,9.685934,8.788153,21.634804,5.0870347,1.0878439,-4.54876,0.95224774,-3.8258567,-2.236498,2.3090272,2.1890318,0.12793358
1051,0,0,0,train,12.815131,5.3719335,4.5522766,-11.438167,1.9590129,-7.917299,-7.435808,-10.504742,3.3187928,0.53431606,3.428726,2.5822914
669,0,0,1,train,-23.17405,9.18639,-1.4782916,4.117662,-10.225809,-13.593492,5.2863383,-0.9831533,-0.41912484,-7.77064,-2.622535,19.472698
1434,0,1,0,train,-2.4457932,18.899487,-7.120052,-8.535984,9.653432,8.908297,-0.2073813,1.9497406,-5.825423,10.644516,-4.412779,6.729827
668,0,0,1,train,-21.272583,0.8449425,-2.8547535,5.3441043,-3.8433106,-10.930359,3.7531822,-1.4600034,-0.17736904,-3.7237859,5.3371577,17.783249
