id,miner,rust,phoma
1339,1,0,0
641,0,0,1
750,0,0,0
239,1,0,0
317,0,0,1
797,0,0,1
449,0,0,1
349,0,0,1
1048,0,0,0
732,0,1,0
375,0,0,1
1434,0,1,0
401,0,0,1
753,0,0,0
242,0,0,1
1364,0,0,0
800,0,0,1
745,0,0,0
300,0,0,1
223,1,0,0
1332,0,0,0
216,1,0,0
41,1,0,0
644,0,0,1
176,0,1,0
606,0,0,1
861,0,0,0
654,0,0,1
985,1,0,0
378,0,0,1
857,1,0,0
117,1,0,0
648,0,1,0
1500,1,0,0
736,0,0,1
246,0,0,1
979,1,0,0
1465,0,1,0
319,0,0,1
824,0,0,0
42,1,0,0
742,0,0,0
1402,0,0,0
129,0,1,0
17,0,0,1
274,0,0,1
310,0,0,1
740,0,0,0
1464,0,1,0
1384,0,0,0
845,0,0,0
916,0,0,0
769,0,1,0
47,1,1,0
1518,0,1,0
1420,0,0,0
713,0,1,0
898,0,1,0
219,1,0,0
1381,0,0,0
360,0,0,1
155,0,1,0
23,1,0,0
659,0,0,1
152,0,1,0
18,0,0,1
377,0,0,1
923,0,0,0
1021,1,1,0
1046,1,0,0
55,1,0,0
1080,1,0,0
1301,1,0,0
259,0,0,1
1310,1,0,0
973,1,0,0
956,1,0,0
1097,0,0,0
853,1,0,0
243,0,0,1
1506,0,1,0
437,0,0,1
269,0,0,1
1545,0,1,0
1302,1,0,0
989,1,1,0
1492,0,1,0
15,0,0,0
725,0,0,0
672,0,0,1
1351,0,1,0
261,0,0,1
415,0,0,1
803,0,0,1
142,0,1,0
1586,0,0,0
826,0,0,0
1392,0,0,0
127,1,0,0
410,0,0,1
287,0,0,1
966,0,0,0
1522,0,1,0
271,0,0,1
1057,0,0,0
710,0,0,1
1051,0,0,0
813,0,0,0
341,0,0,1
1482,1,0,0
1445,1,1,0
1598,0,1,0
671,0,0,1
721,0,0,0
772,0,0,1
950,1,0,0
1318,0,0,0
454,0,0,1
406,0,0,1
151,0,1,0
1077,0,0,0
355,0,0,1
756,0,0,1
1597,0,1,0
487,0,0,1
1435,0,1,0
660,0,0,1
1526,0,1,0
498,0,0,1
325,0,0,1
156,0,1,0
715,0,1,0
413,0,0,1
634,0,0,1
210,0,0,0
433,0,0,1
1410,0,0,0
1534,0,1,0
899,0,1,0
988,1,1,0
1011,1,0,0
984,1,0,0
171,0,1,0
604,0,0,1
1082,1,0,0
831,1,0,0
359,0,0,1
635,0,0,1
169,0,1,0
140,0,1,0
329,0,0,1
1592,0,1,0
344,0,0,1
820,0,0,1
1084,1,0,0
337,0,0,1
1009,1,0,0
424,0,0,1
851,0,0,0
1345,1,0,0
1406,0,0,0
188,0,0,0
493,0,0,1
323,0,0,1
1543,1,0,0
1041,0,1,0
778,0,0,0
1585,0,0,0
56,1,0,0
701,0,0,0
1467,0,1,0
657,0,0,1
719,0,1,0
1558,0,1,0
350,0,0,1
1320,1,0,0
921,0,0,0
1357,1,0,0
1462,0,1,0
200,0,0,0
836,1,0,0
1591,0,1,0
888,1,0,0
1538,0,1,0
1437,1,1,0
1019,0,0,0
1024,1,0,0
403,0,0,1
827,0,0,0
1448,1,1,0
489,0,0,1
894,1,0,0
227,1,0,0
10,0,0,0
925,0,0,0
1413,0,0,0
1316,0,0,0
875,1,0,0
445,0,0,1
1022,1,1,0
711,0,0,1
855,1,0,0
1561,1,0,0
842,0,1,0
122,1,0,0
419,0,0,1
1432,0,1,0
1327,0,0,0
249,0,0,1
1348,0,1,0
209,0,0,0
476,0,0,1
1501,1,0,0
196,0,0,0
5,0,0,0
318,0,0,1
627,0,0,1
321,0,0,1
452,0,0,1
1588,0,1,0
879,1,1,0
1349,0,1,0
909,1,0,0
466,0,0,1
1569,0,1,0
394,0,0,1
758,0,0,1
1069,1,0,0
1397,0,0,0
293,0,0,1
882,1,1,0
940,0,0,0
380,0,0,1
385,0,0,1
1401,0,0,0
816,1,0,0
727,0,0,0
1087,1,0,0
1016,0,0,0
954,1,0,0
147,0,1,0
390,0,0,1
34,1,0,0
102,1,0,0
1542,1,0,0
31,1,0,0
8,0,0,0
818,1,0,0
766,0,0,0
1470,0,1,0
409,0,0,1
302,0,0,1
1563,1,0,0
1071,1,0,0
1314,1,0,0
448,0,0,1
175,0,1,0
383,0,0,1
1037,0,0,0
1031,0,1,0
1053,1,0,0
285,0,0,1
896,0,1,0
311,0,0,1
942,0,0,0
1300,1,0,0
815,0,0,0
963,0,1,0
1033,1,0,0
389,0,0,1
1004,0,0,0
1550,0,1,0
822,0,0,1
480,0,0,1
165,0,1,0
1040,0,1,0
1307,0,0,0
609,0,0,1
665,0,0,1
1394,0,0,0
1531,0,1,0
457,0,0,1
1356,1,0,0
1095,1,0,0
776,0,0,0
1003,1,0,0
154,0,1,0
107,1,0,0
144,0,1,0
1319,0,0,0
1015,0,0,0
1398,0,0,0
777,0,0,0
663,0,0,1
1440,0,1,0
968,0,1,0
366,0,0,1
688,0,0,0
291,0,0,1
611,0,0,1
981,1,0,0
747,0,0,0
168,0,1,0
1475,0,1,0
201,0,0,0
234,1,0,0
1412,0,0,0
607,0,0,1
230,1,0,0
799,0,0,1
1076,0,0,0
313,0,0,1
850,0,0,0
918,0,0,0
646,0,0,1
1485,0,1,0
722,0,0,0
704,1,1,0
972,1,0,0
60,1,0,0
1428,0,0,0
462,0,0,1
1030,0,1,0
1073,1,0,0
43,1,0,0
998,0,0,0
492,0,0,1
474,0,0,1
1454,0,1,0
204,0,0,0
1322,1,0,0
496,0,0,1
1450,1,1,0
1072,1,0,0
1385,0,0,0
364,0,0,1
737,0,0,1
495,0,0,1
947,0,1,0
738,0,0,1
447,0,0,1
936,1,1,0
658,0,0,1
889,1,0,0
1511,0,1,0
1354,1,0,0
652,0,0,1
198,0,0,0
264,0,0,1
1000,1,0,0
134,0,1,0
801,0,0,1
790,0,0,0
211,0,0,0
199,0,0,0
1595,0,1,0
863,0,0,0
267,0,0,1
1453,0,1,0
305,0,0,1
9,0,0,0
1034,1,0,0
1035,1,0,0
372,0,0,1
1515,0,1,0
1442,0,1,0
441,0,0,1
620,0,0,1
335,0,0,1
124,1,0,0
486,0,0,1
1389,0,0,0
145,0,1,0
943,0,0,0
1350,0,1,0
1369,0,0,0
434,0,0,1
1340,1,0,0
353,0,0,1
1367,0,0,0
1577,0,1,0
1480,1,0,0
143,0,1,0
35,1,0,0
1427,0,0,0
46,1,1,0
297,0,0,1
1029,0,1,0
1447,1,1,0
429,0,0,1
166,0,1,0
1363,1,1,0
7,0,0,0
444,0,0,1
343,0,0,1
651,0,1,0
1572,0,1,0
295,0,0,1
707,1,1,0
301,0,0,1
373,0,0,1
254,0,0,1
255,0,0,1
428,0,0,1
352,0,0,1
757,0,0,1
16,0,0,1
765,0,0,0
1414,0,0,0
1014,0,0,0
374,0,0,1
667,0,0,1
362,0,0,1
911,1,0,0
1455,0,1,0
733,0,1,0
920,0,0,0
990,1,1,0
478,0,0,1
977,1,0,0
846,0,0,0
602,0,0,1
907,0,0,0
33,1,0,0
867,1,0,0
1557,0,1,0
1546,0,1,0
877,1,1,0
1513,0,1,0
279,0,0,1
1571,0,1,0
919,0,0,0
1305,0,0,0
775,0,0,1
163,0,1,0
1503,1,0,0
309,0,0,1
847,0,0,0
927,0,0,0
225,1,0,0
4,0,0,0
1099,0,0,0
118,1,0,0
1536,0,1,0
167,0,1,0
115,1,0,0
697,0,0,0
881,1,1,0
123,1,0,0
397,0,0,1
1334,0,0,0
439,0,0,1
705,1,1,0
817,1,0,0
997,0,0,0
479,0,0,1
425,0,0,1
139,0,1,0
687,1,0,0
170,0,1,0
14,0,0,0
630,0,0,1
670,0,0,1
789,0,0,0
494,0,0,1
751,0,0,0
768,0,1,0
1386,0,0,0
1374,0,1,0
1355,1,0,0
1446,1,1,0
442,0,0,1
59,1,0,0
456,0,0,1
995,1,0,0
1056,0,0,0
1411,0,0,0
1032,1,0,0
1547,0,1,0
149,0,1,0
653,0,0,1
307,0,0,1
819,1,0,0
1496,1,0,0
971,0,1,0
967,0,0,0
905,0,0,0
481,0,0,1
1584,0,0,0
1463,0,1,0
869,0,0,0
949,1,0,0
1514,0,1,0
114,1,0,0
186,0,1,0
1494,0,1,0
1045,1,0,0
1312,1,0,0
1484,0,1,0
1050,0,0,0
858,1,0,0
601,0,0,1
109,1,0,0
497,0,0,1
1012,0,0,0
636,0,0,1
1081,1,0,0
294,0,0,1
746,0,0,0
178,0,1,0
1590,0,1,0
316,0,0,1
120,1,0,0
626,0,0,1
440,0,0,1
1593,0,1,0
1091,0,1,0
1479,0,1,0
1477,0,1,0
680,0,0,1
962,0,1,0
741,0,0,0
874,1,0,0
1452,0,1,0
1520,0,1,0
632,0,0,1
460,0,0,1
982,1,0,0
1372,0,1,0
686,1,0,0
1010,1,0,0
214,0,0,0
306,0,0,1
400,0,0,1
471,0,0,1
1005,0,0,0
207,0,0,0
1066,0,0,0
1365,0,0,0
386,0,0,1
1306,0,0,0
1419,0,0,0
835,0,0,0
693,0,0,0
1405,0,0,0
141,0,1,0
1373,0,1,0
837,1,0,0
986,1,0,0
895,1,0,0
1583,0,1,0
1362,1,1,0
699,0,0,0
215,0,0,0
678,0,0,1
247,0,0,1
1560,1,0,0
1474,0,1,0
1498,1,0,0
782,0,0,1
208,0,0,0
283,0,0,1
1599,0,1,0
367,0,0,1
402,0,0,1
1086,1,0,0
833,0,0,0
191,0,0,0
1466,0,1,0
829,1,0,0
642,0,0,1
848,0,0,0
910,1,0,0
1533,0,1,0
767,0,0,0
891,1,0,0
1564,0,1,0
1079,0,0,0
119,1,0,0
158,0,1,0
103,1,0,0
475,0,0,1
421,0,0,1
226,1,0,0
1568,0,1,0
941,0,0,0
623,0,0,1
876,1,1,0
338,0,0,1
773,0,0,1
1544,0,1,0
762,0,0,0
108,1,0,0
852,1,0,0
691,0,0,0
472,0,0,1
1336,1,0,0
887,0,1,0
1403,0,0,0
792,0,0,0
931,1,0,0
1490,0,1,0
299,0,0,1
1026,1,0,0
348,0,0,1
470,0,0,1
994,1,0,0
356,0,0,1
825,0,0,0
649,0,1,0
22,1,0,0
265,0,0,1
450,0,0,1
1443,0,1,0
1552,0,1,0
760,0,0,0
953,1,0,0
937,1,1,0
1429,0,0,0
312,0,0,1
221,1,0,0
1094,1,0,0
52,1,0,0
912,1,0,0
1092,1,0,0
1478,0,1,0
451,0,0,1
1068,1,0,0
952,1,0,0
616,0,0,1
647,0,0,1
1096,0,0,0
1007,0,0,0
232,1,0,0
900,0,1,0
320,0,0,1
731,0,0,1
684,1,0,0
412,0,0,1
681,0,0,1
418,0,0,1
1393,0,0,0
1517,0,1,0
420,0,0,1
720,0,0,0
100,1,0,0
1088,0,1,0
970,0,1,0
724,0,0,0
233,1,0,0
617,0,0,1
304,0,0,1
212,0,0,0
308,0,0,1
1323,1,0,0
1,0,0,0
1436,1,1,0
1527,0,1,0
365,0,0,1
1495,0,1,0
770,0,1,0
1433,0,1,0
1352,1,0,0
228,1,0,0
126,1,0,0
784,0,0,1
1052,1,0,0
605,0,0,1
40,1,0,0
260,0,0,1
1343,1,0,0
1078,0,0,0
1330,1,0,0
1541,1,0,0
1098,0,0,0
638,0,0,1
969,0,1,0
276,0,0,1
928,1,0,0
1554,0,1,0
290,0,0,1
714,0,1,0
860,0,0,0
482,0,0,1
866,1,0,0
395,0,0,1
1512,0,1,0
1523,0,1,0
708,0,0,1
61,1,0,0
298,0,0,1
1399,0,0,0
1507,0,1,0
1017,0,0,0
1415,0,0,0
677,0,0,1
1556,0,1,0
1407,0,0,0
781,0,0,1
44,1,1,0
30,1,0,0
640,0,0,1
339,0,0,1
1311,1,0,0
717,0,1,0
939,1,1,0
236,1,0,0
292,0,0,1
1383,0,0,0
1481,1,0,0
422,0,0,1
932,0,0,0
128,0,1,0
345,0,0,1
1002,1,0,0
1491,0,1,0
1473,0,1,0
289,0,0,1
1377,1,0,0
903,0,1,0
748,0,0,0
1344,1,0,0
113,1,0,0
795,0,0,0
613,0,0,1
1525,0,1,0
812,0,0,0
1438,1,1,0
104,1,0,0
280,0,0,1
726,0,0,0
245,0,0,1
1582,0,1,0
1067,0,0,0
975,1,0,0
384,0,0,1
754,0,0,0
1416,0,0,0
945,0,1,0
823,0,0,1
1439,1,1,0
1499,1,0,0
1058,0,0,0
453,0,0,1
130,0,1,0
1303,1,0,0
730,0,0,1
1457,0,1,0
964,0,0,0
960,0,1,0
327,0,0,1
1574,0,1,0
785,0,0,1
1486,0,1,0
674,0,0,1
229,1,0,0
368,0,0,1
901,0,1,0
668,0,0,1
838,1,0,0
788,0,0,0
116,1,0,0
0,0,0,0
1093,1,0,0
106,1,0,0
922,0,0,0
993,1,0,0
146,0,1,0
278,0,0,1
238,1,0,0
